target_w,fold,model,ap,auc,f1,prec,rec,brier
120,1,gnn,0.43582833227438555,0.9219097496331666,0.2527393056646848,0.14875247761661048,0.8398313946313868,0.10218918323516846
120,1,persistence,0.9537528477477394,0.9851238749907025,0.9761624869383491,0.9816051644764926,0.9707798323039053,0.0013473129365593195
120,1,and_rule,0.5225851189421087,0.7587983548480594,0.6782753678049942,0.9826600280988884,0.5178639856074925,0.013960560783743858
180,1,gnn,0.4519940381730563,0.8982350585944998,0.3313166773738283,0.21055434586930244,0.7769083562001313,0.12895548343658447
180,1,persistence,0.9852651354754558,0.9938775515204005,0.9923111444718479,0.9967487393885236,0.9879128873846446,0.0007146295392885804
180,1,and_rule,0.39521706989331573,0.6833873522534151,0.5363018370579327,0.9968089906955756,0.36683220383213266,0.029610246419906616
120,1,gnn,0.4403895187229294,0.9220161050913205,0.2692952301596785,0.16083228922479995,0.8270366112659042,0.09406369924545288
120,1,marginal_prior,0.028417043914279894,0.5,0.0,0.0,0.0,0.027754392474889755
120,1,short_scale_oracle,0.20163992770429529,0.7520683623565253,0.42506265404342114,0.3536527514231499,0.5326072131403075,0.040943361818790436
180,1,gnn,0.46012890988770805,0.8965699006569554,0.3307516209724066,0.21011896675114117,0.7766236744506038,0.1309359222650528
180,1,marginal_prior,0.04667867067095444,0.5,0.0,0.0,0.0,0.04464871436357498
180,1,short_scale_oracle,0.1792218935598532,0.6719541512462249,0.38673333415842603,0.4042737622908401,0.37065168397162673,0.05487217754125595
